X  1.44726515, cosTheta -0.34011534, sinTheta  0.94038373,
X  1.44731070, cosTheta -0.34140871, sinTheta  0.93991494,
X  1.44735588, cosTheta -0.34269795, sinTheta  0.93944564,
X  1.44740072, cosTheta -0.34398305, sinTheta  0.93897586,
X  1.44744520, cosTheta -0.34526402, sinTheta  0.93850560,
X  1.44748933, cosTheta -0.34654086, sinTheta  0.93803488,
X  1.44753312, cosTheta -0.34781356, sinTheta  0.93756372,
X  1.44757657, cosTheta -0.34908212, sinTheta  0.93709214,
X  1.44761969, cosTheta -0.35034654, sinTheta  0.93662015,
X  1.44766247, cosTheta -0.35160683, sinTheta  0.93614777,
X  1.44770493, cosTheta -0.35286297, sinTheta  0.93567501,
X  1.44774707, cosTheta -0.35411498, sinTheta  0.93520189,
X  1.44778889, cosTheta -0.35536284, sinTheta  0.93472844,
X  1.44783040, cosTheta -0.35660657, sinTheta  0.93425465,
X  1.44787159, cosTheta -0.35784616, sinTheta  0.93378056,
X  1.44791249, cosTheta -0.35908161, sinTheta  0.93330617,
X  1.44795308, cosTheta -0.36031291, sinTheta  0.93283150,
X  1.44799337, cosTheta -0.36154008, sinTheta  0.93235657,
X  1.44803337, cosTheta -0.36276311, sinTheta  0.93188139,
X  1.44807308, cosTheta -0.36398200, sinTheta  0.93140598,
X  1.44811251, cosTheta -0.36519675, sinTheta  0.93093036,
X  1.44815165, cosTheta -0.36640737, sinTheta  0.93045454,
X  1.44819052, cosTheta -0.36761384, sinTheta  0.92997853,
X  1.44822912, cosTheta -0.36881619, sinTheta  0.92950235,
X  1.44826744, cosTheta -0.37001440, sinTheta  0.92902602,
X  1.44830550, cosTheta -0.37120847, sinTheta  0.92854955,
X  1.44834330, cosTheta -0.37239841, sinTheta  0.92807296,
X  1.44838085, cosTheta -0.37358422, sinTheta  0.92759626,
X  1.44841814, cosTheta -0.37476590, sinTheta  0.92711947,
X  1.44845518, cosTheta -0.37594346, sinTheta  0.92664260,
X  1.44849197, cosTheta -0.37711688, sinTheta  0.92616567,
X  1.44852852, cosTheta -0.37828619, sinTheta  0.92568870,
X  1.44856484, cosTheta -0.37945136, sinTheta  0.92521169,
X  1.44860092, cosTheta -0.38061242, sinTheta  0.92473466,
X  1.44863677, cosTheta -0.38176936, sinTheta  0.92425763,
X  1.44867240, cosTheta -0.38292218, sinTheta  0.92378061,
X  1.44870780, cosTheta -0.38407088, sinTheta  0.92330361,
X  1.44874298, cosTheta -0.38521547, sinTheta  0.92282666,
X  1.44877795, cosTheta -0.38635595, sinTheta  0.92234976,
X  1.44881270, cosTheta -0.38749232, sinTheta  0.92187293,
X  1.44884725, cosTheta -0.38862459, sinTheta  0.92139618,
X  1.44888159, cosTheta -0.38975275, sinTheta  0.92091954,
X  1.44891573, cosTheta -0.39087681, sinTheta  0.92044300,
X  1.44894967, cosTheta -0.39199677, sinTheta  0.91996659,
X  1.44898342, cosTheta -0.39311264, sinTheta  0.91949032,
X  1.44901698, cosTheta -0.39422441, sinTheta  0.91901421,
X  1.44905036, cosTheta -0.39533210, sinTheta  0.91853826,
X  1.44908355, cosTheta -0.39643569, sinTheta  0.91806249,
X  1.44911656, cosTheta -0.39753521, sinTheta  0.91758692,
X  1.44914939, cosTheta -0.39863064, sinTheta  0.91711156,
X  1.44918205, cosTheta -0.39972199, sinTheta  0.91663642,
X  1.44921454, cosTheta -0.40080927, sinTheta  0.91616152,
